Chem_Name,CASno,SMILES,Molecular_formula
Pentaborane,19624-22-7,CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],C14H14NO4PS
Pentachlorophenol,87-86-5,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,C6HCl5O
Peracetic acid,79-21-0,CC(=O)OO,C2H4O3
Perchloric Acid,7601-90-3,OCl(=O)(=O)=O,ClHO4
Phencyclidine,1977-10-01,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,C17H25N
Phenol,108-95-2,C1=CC=C(C=C1)O,C6H6O
Phenyl Isocyanate,103-71-9,C1=CC=C(C=C1)N=C=O,C7H5NO
Phenylacetonitrile,140-29-4,C1=CC=C(C=C1)CC#N,C8H7N
Phenylhydrazine,100-63-0,C1=CC=C(C=C1)NN,C6H8N2
Phenylmagnesium Chloride,100-59-4,C1=CC=[C-]C=C1.[Mg+2].[Cl-],C6H5ClMg
Phorate,298-02-2,CCOP(=S)(OCC)SCSCC,C7H17O2PS3
Phosgene,75-44-5,C(=O)(Cl)Cl,CCl2O
Phosphine,7803-51-2,P,H3P
Phosphoric Acid,7664-38-2,OP(=O)(O)O,H3O4P
Phosphorus Oxychloride,10025-87-3,O=P(Cl)(Cl)Cl,Cl3OP
Phosphorus Pentachloride,10026-13-8,P(Cl)(Cl)(Cl)(Cl)Cl,Cl5P
Phosphorus Trichloride,7719-12-02,P(Cl)(Cl)Cl,Cl3P
"Phosphorus, Elemental",7723-14-0,[P],P
Phthalic Anhydride,85-44-9,C1=CC=C2C(=C1)C(=O)OC2=O,C8H4O3
Picric acid,88-89-1,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],C6H3N3O7
Pinacolyl Alcohol,464-07-3,CC(C(C)(C)C)O,C6H14O
Piperidine,110-89-4,C1CCNCC1,C5H11N
Potassium Chlorate,3811-04-09,[O-]Cl(=O)=O.[K+],ClKO3
Potassium Cyanide,151-50-8,[C-]#N.[K+],CKN
Potassium Fluoride,7789-23-3,[F-].[K+],FK
Potassium Hydroxide,1310-58-3,[OH-].[K+],HKO
Potassium Nitrate,7757-79-1,[N+](=O)([O-])[O-].[K+],KNO3
Potassium Nitrite,7758-09-0,N(=O)[O-].[K+],KNO2
Potassium Perchlorate,7778-74-7,[O-]Cl(=O)(=O)=O.[K+],ClKO4
Potassium Permanganate,7722-64-7,[O-][Mn](=O)(=O)=O.[K+],KMnO4
"Potassium, Elemental",7440-09-07,[K],K
Propadiene,463-49-0,C=C=C,C3H4
Propane,74-98-6,CCC,C3H8
Propargyl Alcohol,107-19-7,C#CCO,C3H4O
Propionaldehyde,123-38-6,CCC=O,C3H6O
Propionic Acid,1979-09-04,CCC(=O)O,C3H6O2
Propionic Anhydride,123-62-6,CCC(=O)OC(=O)CC,C6H10O3
Propionitrile,107-12-0,CCC#N,C3H5N
Propyl Mercaptan,107-03-9,CCCS,C3H8S
Propylamine,107-10-8,CCCN,C3H9N
Propylene,115-07-1,CC=C,C3H6
Pseudoephedrine,90-82-4,CC(C(C1=CC=CC=C1)O)NC,C10H15NO
p-Toluenesulfonic Acid,104-15-4,CC1=CC=C(C=C1)S(=O)(=O)O,C7H8O3S
Pyridine,110-86-1,C1=CC=NC=C1,C5H5N
Pyrrole,109-97-7,C1=CNC=C1,C4H5N
Pyrrolidine,123-75-1,C1CCNC1,C4H9N
Safrole,94-59-7,C=CCC1=CC2=C(C=C1)OCO2,C10H10O2
Sarin,107-44-8,CC(C)OP(=O)(C)F,C4H10FO2P
sec-Butyl Acetate,105-46-4,CCC(C)OC(=O)C,C6H12O2
sec-Butyl Alcohol,78-92-2,CCC(C)O,C4H10O
Selenium Hexafluoride,7783-79-1,F[Se](F)(F)(F)(F)F,F6Se
"Selenium, Elemental",7782-49-2,[Se],Se
Silane,7803-62-5,[SiH4],H4Si
Silicon Tetrafluoride,7783-61-1,F[Si](F)(F)F,F4Si
Silver Nitrate,7761-88-8,[N+](=O)([O-])[O-].[Ag+],AgNO3
"Silver, Elemental",7440-22-4,[Ag],Ag
Sodium,7440-23-5,[Na],Na
Sodium Acetate,127-09-3,CC(=O)[O-].[Na+],C2H3NaO2
Sodium azide,26628-22-8,[N-]=[N+]=[N-].[Na+],N3Na
Sodium Bisulfite,7631-90-5,OS(=O)[O-].[Na+],HNaO3S
Sodium Borohydride,16940-66-2,[BH4-].[Na+],BH4Na
Sodium Chlorate,7775-09-09,[O-]Cl(=O)=O.[Na+],ClNaO3
Sodium Chlorite,7758-19-2,[O-]Cl=O.[Na+],ClNaO2
Sodium Cyanide,143-33-9,[C-]#N.[Na+],CNNa
Sodium Dichromate,10588-01-9,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Cr2Na2O7
Sodium Fluoride,7681-49-4,[F-].[Na+],FNa
Sodium Hydride,7646-69-7,[H-].[Na+],HNa
Sodium Hydrosulfide,16721-80-5,[Na+].[SH-],HNaS
Sodium hydrosulfite,7775-14-6,[O-]S(=O)S(=O)[O-].[Na+].[Na+],Na2O4S2
Sodium Hydroxide,1310-73-2,[OH-].[Na+],HNaO
Sodium Hypochlorite,7681-52-9,[O-]Cl.[Na+],ClNaO
Sodium Methoxide,124-41-4,C[O-].[Na+],CH3NaO
Sodium Nitrate,7631-99-4,[N+](=O)([O-])[O-].[Na+],NNaO3
Sodium Perchlorate,7601-89-0,[O-]Cl(=O)(=O)=O.[Na+],ClNaO4
Sodium Peroxide,1313-60-6,[O-][O-].[Na+].[Na+],Na2O2
Sodium Sulfate,7757-82-6,[O-]S(=O)(=O)[O-].[Na+].[Na+],Na2O4S
Sodium Sulfide,1313-82-2,[Na+].[Na+].[SH-],HNa2S+
Sodium Thiosulfate,7772-98-7,[O-]S(=O)(=S)[O-].[Na+].[Na+],Na2O3S2
Soman,96-64-0,CC(C(C)(C)C)OP(=O)(C)F,C7H16FO2P
Stibine,7803-52-3,[SbH3],H3Sb
Stoddard Solvent,8052-41-3,CC(=O)O.C(CCCBr)CCO,C8H17BrO3
Strontium Chlorate,7791-10-08,[O-]Cl(=O)=O.[O-]Cl(=O)=O.[Sr+2],Cl2O6Sr
Strontium Peroxide,1314-18-7,[O-][O-].[Sr+2],O2Sr
"Strontium, Elemental",7440-24-6,[Sr],Sr
Styrene,100-42-5,C=CC1=CC=CC=C1,C8H8
Sufentanil,56030-54-7,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,C22H30N2O2S
Sulfur dioxide,7446-09-05,O=S=O,O2S
Sulfur Hexafluoride,2551-62-4,FS(F)(F)(F)(F)F,F6S
Sulfur trioxide,7446-11-09,O=S(=O)=O,O3S
"Sulfur, Elemental",7704-34-9,[S],S
Sulfuric acid,7664-93-9,OS(=O)(=O)O,H2O4S
Tabun,77-81-6,CCOP(=O)(C#N)N(C)C,C5H11N2O2P
Terpinolene,586-62-9,CC1=CCC(=C(C)C)CC1,C10H16
tert-Butyl hydroperoxide,75-91-2,CC(C)(C)OO,C4H10O2
tert-Butylamine,75-64-9,CC(C)(C)N,C4H11N
Tetrachloroethylene,127-18-4,C(=C(Cl)Cl)(Cl)Cl,C2Cl4
Tetrafluoroethylene,116-14-3,C(=C(F)F)(F)F,C2F4
Tetrahydrofuran,109-99-9,C1CCOC1,C4H8O
Tetrahydrothiophene,110-01-0,C1CCSC1,C4H8S
Tetramethyl Lead,75-74-1,C[Pb](C)(C)C,C4H12Pb
Tetramethylammonium hydroxide,75-59-2,C[N+](C)(C)C.[OH-],C4H13NO
Tetranitromethane,509-14-8,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],CN4O8
Thallous Nitrate,10102-45-1,[N+](=O)([O-])[O-].[Tl+],NO3Tl
Thiodiglycol,111-48-8,C(CSCCO)O,C4H10O2S
Thionyl chloride,7719-09-07,O=S(Cl)Cl,Cl2OS
Thiophene,110-02-1,C1=CSC=C1,C4H4S
Titanium,7440-32-6,[Ti],Ti
Titanium Tetrachloride,7550-45-0,Cl[Ti](Cl)(Cl)Cl,Cl4Ti
Toluene,108-88-3,CC1=CC=CC=C1,C7H8
Toluene Diisocyanate,26471-62-5,CC1=C(C=CC=C1N=C=O)N=C=O,C9H6N2O2
Toxaphene,8001-35-2,C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl,C10H8Cl8
"trans-1,2-Dichloroethylene",156-60-5,C(=CCl)Cl,C2H2Cl2
"Trans-1,3-dichloropropene",10061-02-6,C(C=CCl)Cl,C3H4Cl2
Triallylamine,102-70-5,C=CCN(CC=C)CC=C,C9H15N
Trichloroethylene,1979-01-06,C(=C(Cl)Cl)Cl,C2HCl3
Trichlorosilane,10025-78-2,[SiH](Cl)(Cl)Cl,Cl3HSi
Triethyl Phosphite,122-52-1,CCOP(OCC)OCC,C6H15O3P
Triethylaluminum,97-93-8,CC[Al](CC)CC,C6H15Al
Triethylamine,121-44-8,CCN(CC)CC,C6H15N
Trifluoromethane,75-46-7,C(F)(F)F,CHF3
Triisobutylaluminum,100-99-2,CC(C)C[Al](CC(C)C)CC(C)C,C12H27Al
Trimethyl Borate,121-43-7,B(OC)(OC)OC,C3H9BO3
Trimethyl Phosphite,121-45-9,COP(OC)OC,C3H9O3P
Trimethylamine,75-50-3,CN(C)C,C3H9N
Trimethylchlorosilane,75-77-4,C[Si](C)(C)Cl,C3H9ClSi
Tripropylamine,102-69-2,CCCN(CCC)CCC,C9H21N
Tris(2-Chloroethyl)amine,555-77-1,C(CCl)N(CCCl)CCCl,C6H12Cl3N
"Uranium, Elemental",7440-61-1,[U],U
"Vanadium, Elemental",7440-62-2,[V],V
Vinyl Acetate,108-05-4,CC(=O)OC=C,C4H6O2
Vinyl Bromide,593-60-2,C=CBr,C2H3Br
Vinyl chloride,1975-01-04,C=CCl,C2H3Cl
Vinyl Fluoride,1975-02-05,C=CF,C2H3F
Vinyl methyl ether,107-25-5,COC=C,C3H6O
VX,50782-69-9,CCOP(=O)(C)SCCN(C(C)C)C(C)C,C11H26NO2PS
Zinc phosphide,1314-84-7,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Zr+4],N4O12Zr
Zirconium Nitrate,13746-89-9,C1=C(C=C(C(=C1N)[O-])[N+](=O)[O-])[N+](=O)[O-].C1=C(C=C(C(=C1N)[O-])[N+](=O)[O-])[N+](=O)[O-].C1=C(C=C(C(=C1N)[O-])[N+](=O)[O-])[N+](=O)[O-].C1=C(C=C(C(=C1N)[O-])[N+](=O)[O-])[N+](=O)[O-].[Zr+4],C24H16N12O20Zr
Zirconium Picramate,63868-82-6,[P-3].[P-3].[Zn+2].[Zn+2].[Zn+2],P2Zn3
